Google company,Price
Motorola Mobility,12500
Nest Labs,3200
DoubleClick,3100
YouTube,1650
Waze,966
AdMob,750
ITA Software,676
Postini,625
DeepMind Technologies,625
Apigee,625
Dropcam,555
Skybox Imaging,500
Wildfire Interactive,450
Admeld,400
bebop,380
Slide.com,228
Zagat,151
On2,133
Channel Intelligence,125
DailyDeal,114
Applied Semantics,102
dMarc Broadcasting,102
FeedBurner,100
Like.com,100
Meebo,100
Orbitera,100
Invite Media,81
Jambool,70
Global IP Solutions,68.2
BeatThatQuote.com,65
Android,50
Aardvark,50
GrandCentral,45
Viewdle,45
Flutter,40
Gizmo5,30
BumpTop,30
Wavii,30
Endoxon,28
DocVerse,25
PushLife,25
Sparrow,25
Adscape,23
FlexyCore,23
BufferBox,17
Marratech,15
Omnisio,15
Quiksee,10